
['1-May-09', 'X-Men Origins: Wolverine', '150000000', '179883157', '374825760\n'], The profit from this movie is: $404708917 

['22-May-09', 'Night at the Museum: Battle of the Smithsonian', '150000000', '177243721', '402231063\n'], The profit from this movie is: $429474784 

['26-May-11', 'Kung Fu Panda 2', '150000000', '165249063', '664837547\n'], The profit from this movie is: $680086610 

['14-May-15', 'Mad Max: Fury Road', '150000000', '153636354', '369873869\n'], The profit from this movie is: $373510223 

['3-May-19', 'Pokémon: Detective Pikachu', '150000000', '144105346', '428919826\n'], The profit from this movie is: $423025172 

['5-Nov-03', 'The Matrix Revolutions', '150000000', '139270910', '427300260\n'], The profit from this movie is: $416571170 

['20-Mar-18', 'Ready Player One', '150000000', '137690172', '579055653\n'], The profit from this movie is: $566745825 

['4-Nov-05', 'Chicken Little', '150000000', '135386665', '310043823\n'], The profit from this movie is: $295430488 

['5-May-06', 'Mission: Impossible III', '150000000', '133501348', '399387745\n'], The profit from this movie is: $382889093 

['15-May-09', 'Angels & Demons', '150000000', '133375846', '490875846\n'], The profit from this movie is: $474251692 

['13-May-04', 'Troy', '150000000', '133298577', '483152040\n'], The profit from this movie is: $466450617 

['1-Jul-10', 'The Last Airbender', '150000000', '131772187', '319713881\n'], The profit from this movie is: $301486068 

['2-Nov-07', 'Bee Movie', '150000000', '126631277', '287594577\n'], The profit from this movie is: $264225854 

['24-Jul-09', 'G-Force', '150000000', '119436770', '292817841\n'], The profit from this movie is: $262254611 

['21-Nov-08', 'Bolt', '150000000', '114053579', '328015029\n'], The profit from this movie is: $292068608 

['24-Nov-21', 'Encanto', '150000000', '96093622', '230962269\n'], The profit from this movie is: $177055891 

['2-Mar-23', 'Dungeons & Dragons: Honor Among Thieves', '150000000', '93277026', '207582323\n'], The profit from this movie is: $150859349 

['28-Mar-12', 'Wrath of the Titans', '150000000', '83670083', '305270083\n'], The profit from this movie is: $238940166 

['16-Nov-07', 'Beowulf', '150000000', '82280579', '195080579\n'], The profit from this movie is: $127361158 

['9-May-12', 'Dark Shadows', '150000000', '79727149', '245564215\n'], The profit from this movie is: $175291364 

['28-Jun-13', 'White House Down', '150000000', '73103784', '205440387\n'], The profit from this movie is: $128544171 

['14-Jul-21', 'Space Jam: A New Legacy', '150000000', '70592228', '143987946\n'], The profit from this movie is: $64580174 

['12-Feb-10', 'The Wolfman', '150000000', '62189884', '142634358\n'], The profit from this movie is: $54824242 

['15-Dec-16', 'The Great Wall', '150000000', '45157105', '334486852\n'], The profit from this movie is: $229643957 

['25-Sep-15', 'Pan', '150000000', '35088320', '151525973\n'], The profit from this movie is: $36614293 

['11-Mar-11', 'Mars Needs Moms', '150000000', '21392758', '39549758\n'], The profit from this movie is: $-89057484 

['3-Feb-22', 'Moonfall', '150000000', '19060660', '59053195\n'], The profit from this movie is: $-71886145 

['4-Nov-21', 'Red Notice', '150000000', '0', '173638\n'], The profit from this movie is: $-149826362 

['13-Dec-19', '6 Underground', '150000000', '0', '0\n'], The profit from this movie is: $-150000000 

